,employee,companyAlias,numVotes,lastParticipationDate,stillExists,uid,comid
207,245,56aec740f1ef260003e307d6,235,2017-03-17 00:00:00,True,11_245,11
208,246,56aec740f1ef260003e307d6,121,2017-03-17 18:23:29,True,11_246,11
211,250,56aec740f1ef260003e307d6,43,2017-03-20 00:00:00,True,11_250,11
214,254,56aec740f1ef260003e307d6,57,2017-03-19 00:00:00,True,11_254,11
215,255,56aec740f1ef260003e307d6,98,2017-03-17 19:08:03,True,11_255,11
216,256,56aec740f1ef260003e307d6,57,2017-02-10 17:31:29,True,11_256,11
217,257,56aec740f1ef260003e307d6,127,2017-03-17 00:00:00,True,11_257,11
219,259,56aec740f1ef260003e307d6,71,2017-03-20 00:00:00,True,11_259,11
221,262,56aec740f1ef260003e307d6,56,2017-03-17 00:00:00,True,11_262,11
224,266,56aec740f1ef260003e307d6,124,2017-03-20 00:00:00,True,11_266,11
227,269,56aec740f1ef260003e307d6,142,2017-03-20 00:00:00,True,11_269,11
229,271,56aec740f1ef260003e307d6,135,2017-03-20 00:00:00,True,11_271,11
230,272,56aec740f1ef260003e307d6,168,2017-03-19 00:00:00,True,11_272,11
231,273,56aec740f1ef260003e307d6,147,2017-03-19 12:59:09,True,11_273,11
232,274,56aec740f1ef260003e307d6,212,2017-03-20 00:00:00,True,11_274,11
233,275,56aec740f1ef260003e307d6,26,2017-02-16 00:00:00,True,11_275,11
234,276,56aec740f1ef260003e307d6,217,2017-03-20 18:00:17,True,11_276,11
236,280,56aec740f1ef260003e307d6,146,2017-03-18 00:00:00,True,11_280,11
237,282,56aec740f1ef260003e307d6,143,2017-03-20 00:00:00,True,11_282,11
240,290,56aec740f1ef260003e307d6,163,2017-03-18 00:00:00,True,11_290,11
241,291,56aec740f1ef260003e307d6,257,2017-03-20 13:23:02,True,11_291,11
242,292,56aec740f1ef260003e307d6,45,2017-03-15 09:20:36,True,11_292,11
243,293,56aec740f1ef260003e307d6,70,2017-03-01 09:36:30,True,11_293,11
244,294,56aec740f1ef260003e307d6,70,2017-02-06 00:00:00,True,11_294,11
247,297,56aec740f1ef260003e307d6,93,2017-03-16 07:23:11,True,11_297,11
248,298,56aec740f1ef260003e307d6,136,2017-03-18 00:00:00,True,11_298,11
251,304,56aec740f1ef260003e307d6,54,2017-03-01 09:23:34,True,11_304,11
252,305,56aec740f1ef260003e307d6,242,2017-03-20 00:00:00,True,11_305,11
253,307,56aec740f1ef260003e307d6,78,2017-03-20 18:00:17,True,11_307,11
254,308,56aec740f1ef260003e307d6,205,2017-02-16 17:31:26,True,11_308,11
255,309,56aec740f1ef260003e307d6,80,2017-02-28 00:00:00,True,11_309,11
256,310,56aec740f1ef260003e307d6,189,2017-03-20 11:28:45,True,11_310,11
258,312,56aec740f1ef260003e307d6,154,2017-03-18 00:00:00,True,11_312,11
265,326,56aec740f1ef260003e307d6,106,2017-03-20 00:00:00,True,11_326,11
266,328,56aec740f1ef260003e307d6,184,2017-03-19 00:00:00,True,11_328,11
267,329,56aec740f1ef260003e307d6,50,2017-03-12 00:00:00,True,11_329,11
268,331,56aec740f1ef260003e307d6,43,2017-03-17 00:00:00,True,11_331,11
270,334,56aec740f1ef260003e307d6,65,2017-03-19 00:00:00,True,11_334,11
274,340,56aec740f1ef260003e307d6,245,2017-03-20 07:11:08,True,11_340,11
278,346,56aec740f1ef260003e307d6,82,2017-03-17 00:00:00,True,11_346,11
281,351,56aec740f1ef260003e307d6,106,2017-03-20 00:00:00,True,11_351,11
282,353,56aec740f1ef260003e307d6,136,2017-03-20 00:00:00,True,11_353,11
283,355,56aec740f1ef260003e307d6,53,2017-01-19 00:00:00,True,11_355,11
285,357,56aec740f1ef260003e307d6,68,2017-02-13 12:48:03,True,11_357,11
287,359,56aec740f1ef260003e307d6,113,2017-03-20 00:00:00,True,11_359,11
289,365,56aec740f1ef260003e307d6,10,2017-01-14 00:00:00,True,11_365,11
295,380,56aec740f1ef260003e307d6,205,2017-03-20 00:00:00,True,11_380,11
296,381,56aec740f1ef260003e307d6,83,2017-03-14 20:20:55,True,11_381,11
297,382,56aec740f1ef260003e307d6,148,2017-03-20 17:55:16,True,11_382,11
299,389,56aec740f1ef260003e307d6,236,2017-03-20 00:00:00,True,11_389,11
303,400,56aec740f1ef260003e307d6,129,2017-03-19 00:00:00,True,11_400,11
306,407,56aec740f1ef260003e307d6,69,2017-03-19 00:00:00,True,11_407,11
307,412,56aec740f1ef260003e307d6,100,2017-03-20 00:00:00,True,11_412,11
311,421,56aec740f1ef260003e307d6,44,2017-03-13 00:00:00,True,11_421,11
314,432,56aec740f1ef260003e307d6,164,2017-01-26 10:55:31,True,11_432,11
315,433,56aec740f1ef260003e307d6,74,2017-03-13 21:39:40,True,11_433,11
317,436,56aec740f1ef260003e307d6,110,2017-03-08 13:59:06,True,11_436,11
318,437,56aec740f1ef260003e307d6,82,2017-03-20 00:00:00,True,11_437,11
320,441,56aec740f1ef260003e307d6,204,2017-03-20 00:00:00,True,11_441,11
323,444,56aec740f1ef260003e307d6,103,2017-03-18 00:00:00,True,11_444,11
325,446,56aec740f1ef260003e307d6,19,2017-02-16 21:39:17,True,11_446,11
326,449,56aec740f1ef260003e307d6,79,2017-02-24 00:00:00,True,11_449,11
328,452,56aec740f1ef260003e307d6,50,2017-02-27 00:00:00,True,11_452,11
334,465,56aec740f1ef260003e307d6,69,2017-03-20 08:13:39,True,11_465,11
336,469,56aec740f1ef260003e307d6,48,2017-03-08 00:00:00,True,11_469,11
337,471,56aec740f1ef260003e307d6,7,2017-01-03 17:30:36,True,11_471,11
340,475,56aec740f1ef260003e307d6,15,2017-01-12 00:00:00,False,11_475,11
350,491,56aec740f1ef260003e307d6,81,2017-03-20 11:23:54,True,11_491,11
351,492,56aec740f1ef260003e307d6,95,2017-03-17 17:21:38,True,11_492,11
362,4,54d43612e4b0f6a40755d93e,48,2017-03-17 19:24:20,True,3_4,3
363,5,54d43612e4b0f6a40755d93e,116,2017-02-09 00:00:00,True,3_5,3
369,12,54d43612e4b0f6a40755d93e,49,2017-01-03 09:29:44,True,3_12,3
374,19,54d43612e4b0f6a40755d93e,29,2017-03-16 17:26:37,True,3_19,3
402,18,5370af43e4b0cff95558c12a,203,2017-03-12 00:00:00,True,0_18,0
407,21,5370af43e4b0cff95558c12a,72,2016-12-27 00:00:00,True,0_21,0
410,272,5370af43e4b0cff95558c12a,38,2017-01-18 07:21:26,False,0_272,0
415,25,5370af43e4b0cff95558c12a,145,2017-03-20 00:00:00,True,0_25,0
417,26,5370af43e4b0cff95558c12a,11,2017-03-06 00:00:00,True,0_26,0
419,27,5370af43e4b0cff95558c12a,70,2017-03-06 00:00:00,True,0_27,0
421,28,5370af43e4b0cff95558c12a,15,2017-01-30 16:02:25,True,0_28,0
429,32,5370af43e4b0cff95558c12a,40,2017-01-25 00:00:00,True,0_32,0
441,38,5370af43e4b0cff95558c12a,377,2017-03-20 07:57:56,True,0_38,0
443,39,5370af43e4b0cff95558c12a,96,2017-03-17 00:00:00,True,0_39,0
445,40,5370af43e4b0cff95558c12a,17,2017-03-11 00:00:00,True,0_40,0
451,43,5370af43e4b0cff95558c12a,21,2017-02-09 00:00:00,True,0_43,0
460,48,5370af43e4b0cff95558c12a,43,2017-02-06 00:00:00,True,0_48,0
466,52,5370af43e4b0cff95558c12a,73,2017-03-20 00:00:00,True,0_52,0
468,53,5370af43e4b0cff95558c12a,73,2017-03-15 15:54:39,True,0_53,0
470,54,5370af43e4b0cff95558c12a,17,2017-03-03 15:57:19,False,0_54,0
474,56,5370af43e4b0cff95558c12a,47,2017-03-06 00:00:00,True,0_56,0
476,57,5370af43e4b0cff95558c12a,86,2017-03-08 00:00:00,True,0_57,0
482,60,5370af43e4b0cff95558c12a,29,2017-02-22 00:00:00,True,0_60,0
485,62,5370af43e4b0cff95558c12a,175,2017-03-17 00:00:00,True,0_62,0
683,259,5370af43e4b0cff95558c12a,78,2017-03-19 00:00:00,True,0_259,0
690,268,5370af43e4b0cff95558c12a,37,2017-01-16 00:00:00,True,0_268,0
691,269,5370af43e4b0cff95558c12a,17,2017-03-10 11:54:38,True,0_269,0
693,271,5370af43e4b0cff95558c12a,26,2017-03-20 00:00:00,True,0_271,0
694,272,5370af43e4b0cff95558c12a,38,2017-01-18 00:00:00,False,0_272,0
714,1,57bb2f0b3bae540003a8d453,94,2017-03-20 18:12:06,True,21_1,21
717,3,57bb2f0b3bae540003a8d453,107,2017-03-17 12:31:03,True,21_3,21
719,4,57bb2f0b3bae540003a8d453,24,2017-03-20 00:00:00,True,21_4,21
720,5,57bb2f0b3bae540003a8d453,88,2017-03-20 18:12:06,True,21_5,21
721,6,57bb2f0b3bae540003a8d453,88,2017-03-17 12:31:03,True,21_6,21
722,8,57bb2f0b3bae540003a8d453,117,2017-03-20 00:00:00,True,21_8,21
723,10,57bb2f0b3bae540003a8d453,31,2017-03-15 00:00:00,True,21_10,21
724,11,57bb2f0b3bae540003a8d453,14,2017-02-16 15:06:55,True,21_11,21
725,12,57bb2f0b3bae540003a8d453,159,2017-03-20 17:08:05,True,21_12,21
730,19,57bb2f0b3bae540003a8d453,18,2017-03-14 17:42:27,True,21_19,21
731,21,57bb2f0b3bae540003a8d453,42,2017-03-18 00:32:13,True,21_21,21
732,22,57bb2f0b3bae540003a8d453,69,2017-03-17 00:00:00,True,21_22,21
733,23,57bb2f0b3bae540003a8d453,86,2017-03-20 00:00:00,True,21_23,21
735,25,57bb2f0b3bae540003a8d453,28,2017-03-15 11:53:23,True,21_25,21
738,28,57bb2f0b3bae540003a8d453,151,2017-03-20 00:00:00,True,21_28,21
739,29,57bb2f0b3bae540003a8d453,64,2017-03-17 00:00:00,True,21_29,21
740,30,57bb2f0b3bae540003a8d453,15,2017-02-02 00:00:00,True,21_30,21
741,31,57bb2f0b3bae540003a8d453,158,2017-03-20 14:15:03,True,21_31,21
742,32,57bb2f0b3bae540003a8d453,146,2017-03-20 18:12:06,True,21_32,21
743,34,57bb2f0b3bae540003a8d453,67,2017-03-20 00:00:00,True,21_34,21
744,36,57bb2f0b3bae540003a8d453,28,2017-03-02 00:09:14,True,21_36,21
745,37,57bb2f0b3bae540003a8d453,16,2017-03-04 01:34:17,True,21_37,21
746,38,57bb2f0b3bae540003a8d453,153,2017-03-20 00:00:00,True,21_38,21
748,40,57bb2f0b3bae540003a8d453,106,2017-03-18 00:56:36,True,21_40,21
749,41,57bb2f0b3bae540003a8d453,143,2017-03-17 00:00:00,True,21_41,21
751,43,57bb2f0b3bae540003a8d453,97,2017-03-20 17:08:05,True,21_43,21
752,44,57bb2f0b3bae540003a8d453,27,2017-03-20 00:00:00,True,21_44,21
753,45,57bb2f0b3bae540003a8d453,145,2017-03-20 17:48:04,True,21_45,21
756,49,57bb2f0b3bae540003a8d453,87,2017-03-20 00:00:00,True,21_49,21
757,50,57bb2f0b3bae540003a8d453,113,2017-02-06 00:00:00,True,21_50,21
761,54,57bb2f0b3bae540003a8d453,23,2017-03-14 00:00:00,True,21_54,21
762,58,57bb2f0b3bae540003a8d453,44,2017-03-16 00:00:00,True,21_58,21
763,60,57bb2f0b3bae540003a8d453,64,2017-03-17 00:00:00,True,21_60,21
765,62,57bb2f0b3bae540003a8d453,9,2017-01-30 00:00:00,True,21_62,21
766,63,57bb2f0b3bae540003a8d453,60,2017-03-15 00:00:00,True,21_63,21
768,67,57bb2f0b3bae540003a8d453,35,2017-03-20 00:00:00,True,21_67,21
769,68,57bb2f0b3bae540003a8d453,78,2017-03-20 00:00:00,True,21_68,21
777,80,57bb2f0b3bae540003a8d453,30,2017-03-03 23:30:29,True,21_80,21
778,82,57bb2f0b3bae540003a8d453,73,2017-03-20 00:00:00,True,21_82,21
779,83,57bb2f0b3bae540003a8d453,75,2017-03-20 00:00:00,True,21_83,21
780,84,57bb2f0b3bae540003a8d453,131,2017-03-20 00:00:00,True,21_84,21
781,85,57bb2f0b3bae540003a8d453,23,2017-01-18 13:12:40,True,21_85,21
783,87,57bb2f0b3bae540003a8d453,71,2017-03-20 00:00:00,True,21_87,21
786,91,57bb2f0b3bae540003a8d453,43,2017-03-18 00:40:48,True,21_91,21
788,93,57bb2f0b3bae540003a8d453,43,2017-03-15 00:00:00,True,21_93,21
792,97,57bb2f0b3bae540003a8d453,123,2017-03-20 18:59:37,True,21_97,21
793,99,57bb2f0b3bae540003a8d453,20,2017-03-13 16:37:42,True,21_99,21
796,102,57bb2f0b3bae540003a8d453,94,2017-03-20 14:15:03,True,21_102,21
797,103,57bb2f0b3bae540003a8d453,51,2017-03-16 00:00:00,True,21_103,21
798,105,57bb2f0b3bae540003a8d453,96,2017-03-20 00:00:00,True,21_105,21
799,107,57bb2f0b3bae540003a8d453,143,2017-03-20 00:00:00,True,21_107,21
800,108,57bb2f0b3bae540003a8d453,30,2017-03-08 16:18:18,True,21_108,21
802,111,57bb2f0b3bae540003a8d453,56,2017-03-15 20:27:08,True,21_111,21
804,114,57bb2f0b3bae540003a8d453,31,2017-03-16 00:00:00,True,21_114,21
805,115,57bb2f0b3bae540003a8d453,39,2017-03-20 18:59:37,True,21_115,21
807,118,57bb2f0b3bae540003a8d453,116,2017-03-18 00:00:00,True,21_118,21
808,119,57bb2f0b3bae540003a8d453,38,2017-03-17 14:24:52,True,21_119,21
810,122,57bb2f0b3bae540003a8d453,59,2017-03-18 13:21:31,True,21_122,21
811,125,57bb2f0b3bae540003a8d453,65,2017-03-20 18:59:37,True,21_125,21
814,131,57bb2f0b3bae540003a8d453,24,2017-03-02 00:00:00,True,21_131,21
815,132,57bb2f0b3bae540003a8d453,41,2017-02-21 15:51:28,True,21_132,21
817,136,57bb2f0b3bae540003a8d453,13,2017-02-23 00:00:00,True,21_136,21
819,140,57bb2f0b3bae540003a8d453,72,2017-03-17 16:14:47,True,21_140,21
821,142,57bb2f0b3bae540003a8d453,104,2017-03-17 12:31:21,True,21_142,21
826,150,57bb2f0b3bae540003a8d453,126,2017-03-20 14:15:03,True,21_150,21
828,152,57bb2f0b3bae540003a8d453,45,2017-01-11 14:32:12,True,21_152,21
830,156,57bb2f0b3bae540003a8d453,168,2017-03-20 14:15:03,True,21_156,21
832,158,57bb2f0b3bae540003a8d453,40,2017-03-16 03:42:10,True,21_158,21
835,161,57bb2f0b3bae540003a8d453,24,2017-03-06 00:00:00,True,21_161,21
836,162,57bb2f0b3bae540003a8d453,17,2017-03-15 00:00:00,True,21_162,21
837,163,57bb2f0b3bae540003a8d453,65,2017-03-18 00:00:00,True,21_163,21
838,164,57bb2f0b3bae540003a8d453,47,2017-03-20 18:12:06,True,21_164,21
839,165,57bb2f0b3bae540003a8d453,150,2017-03-20 18:59:37,True,21_165,21
840,166,57bb2f0b3bae540003a8d453,65,2017-03-20 18:12:06,True,21_166,21
843,169,57bb2f0b3bae540003a8d453,41,2017-03-13 21:39:04,True,21_169,21
1021,1,5809cc9eff2ea40003fda44d,8,2016-12-31 01:05:06,True,29_1,29
1022,5,5809cc9eff2ea40003fda44d,41,2016-12-27 00:00:00,True,29_5,29
1027,12,5809cc9eff2ea40003fda44d,49,2017-03-18 00:37:51,True,29_12,29
1030,18,5809cc9eff2ea40003fda44d,23,2017-03-17 00:30:51,True,29_18,29
1039,35,5809cc9eff2ea40003fda44d,30,2017-03-11 00:00:00,True,29_35,29
1048,52,5809cc9eff2ea40003fda44d,53,2017-03-14 19:23:39,True,29_52,29
1053,58,5809cc9eff2ea40003fda44d,71,2017-03-17 00:00:00,True,29_58,29
1057,66,5809cc9eff2ea40003fda44d,13,2017-02-28 00:35:01,True,29_66,29
1074,90,5809cc9eff2ea40003fda44d,72,2017-03-18 00:37:51,True,29_90,29
1077,95,5809cc9eff2ea40003fda44d,7,2017-03-14 00:00:00,True,29_95,29
1078,96,5809cc9eff2ea40003fda44d,16,2017-03-14 00:00:00,True,29_96,29
1083,103,5809cc9eff2ea40003fda44d,6,2017-01-25 00:00:00,True,29_103,29
1084,104,5809cc9eff2ea40003fda44d,50,2017-03-17 03:23:31,True,29_104,29
1087,110,5809cc9eff2ea40003fda44d,29,2017-02-20 00:00:00,True,29_110,29
1116,27,552e2d00e4b066b42fd122ed,55,2017-01-15 00:00:00,True,5_27,5
1126,1,581b08041a0ef8000308aef6,56,2017-02-27 20:53:42,True,31_1,31
1127,135,581b08041a0ef8000308aef6,53,2017-02-02 00:04:33,False,31_135,31
1128,2,581b08041a0ef8000308aef6,55,2017-02-04 00:00:00,True,31_2,31
1131,4,581b08041a0ef8000308aef6,63,2017-02-27 00:00:00,True,31_4,31
1136,18,581b08041a0ef8000308aef6,16,2017-02-20 11:19:20,True,31_18,31
1138,20,581b08041a0ef8000308aef6,57,2017-02-23 00:00:00,True,31_20,31
1139,21,581b08041a0ef8000308aef6,43,2017-02-20 06:28:53,True,31_21,31
1143,30,581b08041a0ef8000308aef6,42,2017-02-12 00:00:00,True,31_30,31
1144,37,581b08041a0ef8000308aef6,45,2017-02-27 00:00:00,True,31_37,31
1145,38,581b08041a0ef8000308aef6,45,2017-02-27 07:07:16,True,31_38,31
1147,40,581b08041a0ef8000308aef6,71,2017-02-27 19:07:48,True,31_40,31
1149,44,581b08041a0ef8000308aef6,79,2017-02-28 00:00:00,True,31_44,31
1151,46,581b08041a0ef8000308aef6,46,2017-02-24 03:40:00,True,31_46,31
1152,48,581b08041a0ef8000308aef6,56,2017-02-26 20:50:06,True,31_48,31
1154,53,581b08041a0ef8000308aef6,82,2017-02-27 00:00:00,True,31_53,31
1158,60,581b08041a0ef8000308aef6,13,2017-02-12 19:07:49,True,31_60,31
1166,74,581b08041a0ef8000308aef6,26,2017-02-28 00:00:00,True,31_74,31
1168,80,581b08041a0ef8000308aef6,33,2017-02-28 12:07:02,True,31_80,31
1170,86,581b08041a0ef8000308aef6,38,2017-02-02 00:04:33,True,31_86,31
1171,87,581b08041a0ef8000308aef6,63,2017-02-23 00:00:00,True,31_87,31
1172,90,581b08041a0ef8000308aef6,14,2016-12-28 18:26:12,True,31_90,31
1173,92,581b08041a0ef8000308aef6,64,2017-02-02 00:04:33,True,31_92,31
1174,94,581b08041a0ef8000308aef6,66,2017-02-02 10:32:14,True,31_94,31
1176,96,581b08041a0ef8000308aef6,54,2017-02-02 00:00:00,True,31_96,31
1178,99,581b08041a0ef8000308aef6,55,2017-02-28 00:00:00,True,31_99,31
1179,102,581b08041a0ef8000308aef6,40,2017-02-17 00:00:00,True,31_102,31
1183,109,581b08041a0ef8000308aef6,53,2017-02-28 00:00:00,True,31_109,31
1184,110,581b08041a0ef8000308aef6,53,2017-02-21 00:00:00,True,31_110,31
1189,116,581b08041a0ef8000308aef6,46,2017-02-24 00:00:00,True,31_116,31
1190,118,581b08041a0ef8000308aef6,20,2017-02-08 00:00:00,True,31_118,31
1192,121,581b08041a0ef8000308aef6,69,2017-02-27 19:25:14,True,31_121,31
1194,124,581b08041a0ef8000308aef6,45,2017-02-28 00:00:00,True,31_124,31
